Serial Number,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Title,Edition,Frequency,Place of Publication,Publisher,Year,Series Title,Physical Description,Notes,International Standard Book Number,International Standard Serial Number,Price,Reference Number
808,"Towe, Nina",,,,,,,,,,Jack & the beanstalk : a folktale / Nina Towe.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2017,,unpaged : col. ill. ; 30 cm.,,978-988-8341-36-8,,USD18.99,2017-00734
809,"Wang, Yongyan",,,,,,,,,,TRADITIONAL Chinese medicine prevention and control of novel influenza outbreaks / edited by Yongyan Wang.,,,Hong Kong,Li Tung Book And Stationery Company Limited,2016,,"517 p. : col. ill., col. charts ; 24 cm.",,978-988-18324-3-6 (pbk.),,$180.00,2017-00002
810,Tsim Sha Tsui Properties Limited,,,,,,,,,,Tsim Sha Tsui Properties Limited 2016-2017 interim report = 尖沙咀置業集團有限公司二零一六至二零一七年度中期報告.,,,Hong Kong,Tsim Sha Tsui Properties Limited,2017,,80 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-02891
811,Tsui Wah Holdings Limited,,,,,,,,,,Tsui Wah Holdings Limited 2016 interim report = 翠華控股有限公司2016中期報告.,,,Hong Kong,Tsui Wah Holdings Limited,2016,,"38, 38 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01487
812,"Tulloch, Alexander",,,,,,,,,,Understanding English homonyms : their origins and usage / Alexander Tulloch.,,,Hong Kong,Hong Kong University Press,2017,,157 p. ; 24 cm.,Includes bibliographical references,"978-988-8390-63-2, 978-988-8390-64-9 (pbk.)",,$450.00; $170.00,2017-01439
813,Tungtex (Holdings) Company Limited,,,,,,,,,,Tungtex (Holdings) Company Limited 2016-2017 interim report = 同得仕(集團)有限公司2016-2017中期報告.,,,Hong Kong,Tungtex (Holdings) Company Limited,2016,,"26, 26 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00587
814,U Banquet Group Holding Limited,,,,,,,,,,"U Banquet Group Holding Limited composite offer and response document relating to unconditional mandatory cash offer by Deloitte & Touche Corporate Finance Limited on behalf of the offeror to acquire all the issued shares of U Banquet Group Holding Limited (other than those already owned or agreed to be acquired by the offeror and parties acting in concert with him), 6 October 2016 = 譽宴集團控股有限公司有關德勤企業財務顧問有限公司代表要約人就收購譽宴集團控股有限公司之全部已發行股份(要約人及其一致行動人士已擁有或同意收購者除外)作出之無條件強制性現金要約之綜合要約及回應文件, 二零一六年十月六日.",,,Hong Kong,U Banquet Group Holding Limited,2016,,various paging : charts ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01264
815,U-Right International Holdings Limited,,,,,,,,,,U-Right International Holdings Limited interim report 2016 = 佑威國際控股有限公司二零一六年中期報告.,,,Hong Kong,U-Right International Holdings Limited,2016,,"30, 30 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00078
816,UKF (Holdings) Limited,,,,,,,,,,UKF (Holdings) Limited interim report 2016 = 英裘(控股)有限公司二零一六年中期報告.,,,Hong Kong,UKF (Holdings) Limited,2016,,"26, 26 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01478
817,Unisplendour Technology (Holdings) Limited,,,,,,,,,,Unisplendour Technology (Holdings) Limited interim report 2016 = 紫光科技(控股)有限公司二零一六年中期報告.,,,Hong Kong,Unisplendour Technology (Holdings) Limited,2016,,"29, 29 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01465
818,Unitas Holdings Limited,,,,,,,,,,Unitas Holdings Limited 2016 interim report = 宏海控股集團有限公司2016中期報告.,,,Hong Kong,Unitas Holdings Limited,2016,,"34, 34 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01233
819,United Photovoltaics Group Limited,,,,,,,,,,"United Photovoltaics Group Limited (1) Subscription for new shares and warrants by Orix Asia Capital Limited under specific mandate (2) Connected transaction in relation to subscription for new shares and warrants by a substantial shareholder under specific mandate (3) Subscription for new shares by New Energy Exchange Limited under specific mandate and (4) Notice of special general meeting, 10 November 2016 = 聯合光伏集團有限公司 (1) 歐力士亞洲資本有限公司根據特別授權認購新股份及認股權證 (2) 主要股東根據特別授權認購新股份及認股權證之關連交易 (3) 新能源交易所有限公司根據特別授權認購新股份及 (4) 股東特別大會通告, 二零一六年十一月十日.",,,Hong Kong,United Photovoltaics Group Limited,2016,,various paging : charts ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01242
820,Vision Fame International Holding Limited,,,,,,,,,,Vision Fame International Holding Limited 2016 interim report = 允升國際控股有限公司2016中期報告.,,,Hong Kong,Vision Fame International Holding Limited,2016,,"40, 40 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01296
821,Vision Values Holdings Limited,,,,,,,,,,Vision Values Holdings Limited interim report 2016/17 = 遠見控股有限公司中期報告2016/17.,,,Hong Kong,Vision Values Holdings Limited,2017,,"42, 42 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-02787
822,Vitop Group Limited,,,,,,,,,,Vitop Group Limited annual report 2016 = 天年集團有限公司年報2016.,,,Hong Kong,Vitop Group Limited,2016,,"102, 102 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01301
823,,,,,,,,,,,VOCATIONAL English. Reports. Applied science.,,,Hong Kong,Pearson Education Asia Limited,2016,,150 p. : col. ill. ; 30 cm.,,978-988-238-306-7 (pbk.),,Unpriced,2017-00396
824,,,,,,,,,,,VOCATIONAL English. Reports. Business administration.,,,Hong Kong,Pearson Education Asia Limited,2016,,150 p. : col. ill. ; 30 cm.,,978-988-238-307-4 (pbk.),,Unpriced,2017-00391
825,,,,,,,,,,,"VOCATIONAL English. Reports. Childcare, elderly and community services.",,,Hong Kong,Pearson Education Asia Limited,2016,,150 p. : col. ill. ; 30 cm.,,978-988-238-308-1 (pbk.),,Unpriced,2017-00395
826,,,,,,,,,,,VOCATIONAL English. Reports. Design.,,,Hong Kong,Pearson Education Asia Limited,2016,,150 p. : col. ill. ; 30 cm.,,978-988-238-309-8 (pbk.),,Unpriced,2017-00397
827,,,,,,,,,,,VOCATIONAL English. Reports. Engineering.,,,Hong Kong,Pearson Education Asia Limited,2016,,150 p. : col. ill. ; 30 cm.,,978-988-238-310-4 (pbk.),,Unpriced,2017-00392
828,,,,,,,,,,,"VOCATIONAL English. Reports. Hotel, service and tourism studies.",,,Hong Kong,Pearson Education Asia Limited,2016,,150 p. : col. ill. ; 30 cm.,,978-988-238-311-1 (pbk.),,Unpriced,2017-00394
829,,,,,,,,,,,VOCATIONAL English. Reports. Information technology.,,,Hong Kong,Pearson Education Asia Limited,2016,,150 p. : col. ill. ; 30 cm.,,978-988-238-312-8 (pbk.),,Unpriced,2017-00393
830,Vocational Training Council,,,,,,,,,,Vocational Training Council annual report 2015/2016 = 職業訓練局年報2015/2016.,,,Hong Kong,Vocational Training Council,2016,,127 p. : col. ill. ; 30 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01889
831,Vocational Training Council,,,,,,,,,,VTC calendar 2016-2017.,,,Hong Kong,Vocational Training Council,2016,,402 p. : charts ; 21 cm.,,,,Unpriced (pbk.),2017-00850
832,Vongroup Limited,,,,,,,,,,Vongroup Limited interim report 2016 = 黃河實業有限公司中期報告2016.,,,Hong Kong,Vongroup Limited,2017,,20 p. ; 21 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-02365
833,Wai Chun Group Holdings Limited,,,,,,,,,,Wai Chun Group Holdings Limited 2016 interim report = 偉俊集團控股有限公司2016中期報告.,,,Hong Kong,Wai Chun Group Holdings Limited,2016,,"42, 42 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01220
834,Walker Group Holdings Limited,,,,,,,,,,Walker Group Holdings Limited interim report 2016 = 盈進集團控股有限公司2016中期報告.,,,Hong Kong,Walker Group Holdings Limited,2016,,48 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-00564
835,Wan Kei Group Holdings Limited,,,,,,,,,,Wan Kei Group Holdings Limited interim report 2016 = 宏基集團控股有限公司中期報告2016.,,,Hong Kong,Wan Kei Group Holdings Limited,2016,,"30, 30 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01456
836,"Wan, Rocky",,,,,,,,,,The lost realm / written and illustrated by Rocky Wan.,,,Hong Kong,Elephant Community Press Limited,2016,,60 p. : ill. ; 21 cm.,,978-988-77188-4-0 (pbk.),,Unpriced,2017-01513
837,"Wang, Mengsha",,,,,,,,,,Wang Mengsha : gardens = 王濛莎 : 園.,,,Hong Kong,Alisan Fine Arts Limited,2016,,38 p. : col. ill. ; 31 cm.,"Includes index, Text in Chinese and English",978-988-13425-7-7 (pbk.),,$200.00,2017-01310
838,Wang On Group Limited,,,,,,,,,,Wang On Group Limited 2016 interim report = 宏安集團有限公司2016中期報告.,,,Hong Kong,Wang On Group Limited,2016,,"54, 54 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01469
839,Wang On Properties Limited,,,,,,,,,,Wang On Properties Limited interim report 2016 = 宏安地產有限公司中期報告2016.,,,Hong Kong,Wang On Properties Limited,2016,,"48, 48 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01468
840,Wanguo International Mining Group Limited,,,,,,,,,,Wanguo International Mining Group Limited annual report 2015 = 萬國國際礦業集團有限公司年報2015.,,,Hong Kong,Wanguo International Mining Group Limited,2016,,"94, 94 p. : col. ill. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00572
841,Wanjia Group Holdings Limited,,,,,,,,,,Wanjia Group Holdings Limited third quarterly report 2016/2017 = 萬嘉集團控股有限公司2016/2017第三季度業績報告.,,,Hong Kong,Wanjia Group Holdings Limited,2017,,"20, 20 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-02363
842,Water Oasis Group Limited,,,,,,,,,,Water Oasis Group Limited 2016 annual report = 奧思集團有限公司2016年報.,,,Hong Kong,Water Oasis Group Limited,2016,,"98, 98 p. : col. ill. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01308
843,"Chan, Amy","Tam, Alex","Yip, Kay",,,,,,,,"WE search for keywords : visual arts learning programme : a collection of case studies 2015-2016 = 捉字室 : 視藝教育計劃案例結集2015-2016 / edited by Amy Chan, Alex Tam, Kay Yip.",,,Hong Kong,We-search Limited,2016,,38 p. : col. ill. ; 23 cm.,Text in Chinese and English,978-988-77775-4-0 (pbk.),,Unpriced,2017-00854
844,Wealth Glory Holdings Limited,,,,,,,,,,"Wealth Glory Holdings Limited (1) Proposed grant of general mandates to issue and repurchase shares; (2) Proposed refreshment of the scheme mandate limit; (3) Proposed appointment of auditor; (4) Proposed share consolidation; (5) Proposed change in board lot size; and (6) Notice of extraordinary general meeting, 18 November 2016 = 富譽控股有限公司 (1) 建議授出發行及購回股份之一般授權; (2) 建議更新計劃授權上限; (3) 建議委任核數師; (4) 建議股份合併; (5) 建議更改每手買賣單位; 及 (6) 股東特別大會通告, 二零一六年十一月十八日.",,,Hong Kong,Wealth Glory Holdings Limited,2016,,"ii, 25, ii, 25 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01270
845,Wealth Glory Holdings Limited,,,,,,,,,,Wealth Glory Holdings Limited 2016 interim report = 富譽控股有限公司2016中期報告.,,,Hong Kong,Wealth Glory Holdings Limited,2016,,"44, 44 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01236
846,"Agarwal, Nia",,,,,,,,,,WHAT it takes / Nia Agarwal ... [et al.].,,,Hong Kong,Elephant Community Press Limited,2016,,156 p. ; 21 cm.,,978-988-77188-1-9 (pbk.),,$80.00,2017-00851
847,Winto Group (Holdings) Limited,,,,,,,,,,Winto Group (Holdings) Limited third quarterly report 2016 = 惠陶集團(控股)有限公司第三季度報告2016.,,,Hong Kong,Winto Group (Holdings) Limited,2016,,"16, 16 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00079
848,WLS Holdings Limited,,,,,,,,,,WLS Holdings Limited interim report 2016/2017 = 滙隆控股有限公司二零一六年至二零一七年中期業績報告.,,,Hong Kong,WLS Holdings Limited,2016,,"30, 30 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01454
849,"Wong, Belinda",,,,,,,,,,Hong Kong company secretary checklist / Belinda Wong.,,,Hong Kong,Wolters Kluwer Hong Kong Limited,2016,Legal series ; 2054H,"xviii, 395 p. ; 23 cm.",,978-988-77412-4-4 (pbk.),,$788.00,2017-00001
850,"Wong, Creamy Pui Sze",,,,,,,,,,The mermaid story / written & illustrated by Creamy Pui Sze Wong.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 23 cm.,,978-988-14872-6-1 (pbk.),,$130.00,2017-01826
851,"Wong, David T. K.",,,,,,,,,,Collected Hong Kong stories / David T.K. Wong.,,,Hong Kong,Blacksmith Books,2016,,310 p. ; 22 cm.,,978-988-13765-2-7 (pbk.),,USD15.95,2017-00418
852,"Wong, Dorothy Ka Yi","Ngok, Ko",,,,,,,,,I can fly! = 我曉飛！ / Dorothy Wong Ka Yi ; illustrated by Ko Ngok.,,,Hong Kong,Christian Harvest,2016,Wise happy duckling,"27, 27 p. : ill. (chiefly col.) ; 16 cm. + stickers",Text in Chinese and English,"978-988-77399-2-0, 978-988-77399-7-5 (set)",,$50.00; Unpriced,2017-01803
853,"Wong, Dorothy Ka Yi","Ngok, Ko",,,,,,,,,I can help! = 我曉做！ / Dorothy Wong Ka Yi ; illustrated by Ko Ngok.,,,Hong Kong,Christian Harvest,2016,Wise happy duckling,"27, 27 p. : ill. (chiefly col.) ; 16 cm.",Text in Chinese and English,"978-988-77399-4-4, 978-988-77399-7-5 (set)",,$50.00; Unpriced,2017-01805
854,"Wong, Dorothy Ka Yi","Ngok, Ko",,,,,,,,,I can learn! = 我曉學！ / Dorothy Wong Ka Yi ; illustrated by Ko Ngok.,,,Hong Kong,Christian Harvest,2016,Wise happy duckling,"27, 27 p. : ill. (chiefly col.) ; 16 cm.",Text in Chinese and English,"978-988-77399-3-7, 978-988-77399-7-5 (set)",,$50.00; Unpriced,2017-01804
855,"Wong, Kaitlyn Wing Hei",,,,,,,,,,A young girl's Y3 school life / written & illustrated by Kaitlyn Wing Hei Wong.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 23 cm.,,978-988-14871-4-8 (pbk.),,$130.00,2017-01584
856,"Wong, Richard Yue Chim",,,,,,,,,,Fixing inequality in Hong Kong / Yue Chim Richard Wong.,,,Hong Kong,Hong Kong University Press,2017,,"xvi, 298 p. : ill. ; 24 cm.",Includes bibliographical references,"978-988-8390-62-5, 978-988-8390-67-0 (pbk.)",,$495.00; $195.00,2017-01833
857,"Wong, Sau Ching",,,,,,,,,,Phantom realm : color ink by Wong Sau Ching = 魅境 : 王守清彩墨展.,,,Hong Kong,Art of Nature International Company Limited,2017,,58 p. : col. ill. ; 25 x 26 cm.,Text in Chinese and English,978-988-77793-1-5 (pbk.),,$100.00,2017-02899
858,"Xiao, Shui","Noell, Noelle",,,,,,,,,Gulf of Bohai = 渤海故事集 / Xiao Shui ; translated by Noelle Noell.,,,Hong Kong,Culture Lab Plus Limited,2017,雙語 ; 01,"iii, 90 p. ; 21 cm.",Text in Chinese and English,978-988-77477-0-3 (pbk.),,$68.00,2017-02786
859,Xinhua News Media Holdings Limited,,,,,,,,,,Xinhua News Media Holdings Limited interim report 2016/2017 = 新華通訊頻媒控股有限公司中期報告2016/2017.,,,Hong Kong,Xinhua News Media Holdings Limited,2016,,"30, 30 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01444
860,"Xu, Weijun","Li, Chenfeng",,,,,,,,,"Dynamic behaviour of ship hull girder under extreme wave loads / Weijun Xu, Chenfeng Li.",,,Hong Kong,"Inno Media and Publishing Co., Limited",2016,Academic monograph series,"vi, 215 p. : ill. (some col.) ; 26 cm.",Includes bibliographical references,978-988-12750-1-1 (pbk.),,$45.00,2017-02235
861,"Xu, Zhimo","Fung, Mary M. Y.","Lunde, David",,,,,,,,"Xu Zhimo : selected poems / edited by Mary M.Y. Fung ; translated by Mary M.Y. Fung, David Lunde.",,,Hong Kong,The Chinese University of Hong Kong. Research Centre for Translation,2017,Renditions paperbacks,126 p. ; 22 cm.,Includes bibliographical references,978-962-7255-45-1 (pbk.),,$98.00,2017-00826
862,"Xue, Qingqing",,,,,,,,,,A wander through the former Soviet Union = 遊走前蘇聯 / photographed by Xue Qingqing.,,,Hong Kong,Hong Kong China Tourism Press,2016,,178 p. : ill. (chiefly col.) ; 30 cm.,Text in simplified Chinese and English,978-988-8179-49-7,,$598.00,2017-00756
863,Yat Sing Holdings Limited,,,,,,,,,,Yat Sing Holdings Limited annual report 2016 = 日成控股有限公司二零一六年年報.,,,Hong Kong,Yat Sing Holdings Limited,2016,,"100, 100 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01285
864,Yat Sing Holdings Limited,,,,,,,,,,"Yat Sing Holdings Limited composite document relating to unconditional mandatory cash offer by Kingston Securities for and on behalf of Smart Paradise International Limited to acquire all the issued shares of Yat Sing Holdings Limited (other than those already owned by Smart Paradise International Limited and parties acting in concert with it), 23 December 2016 = 日成控股有限公司有關金利豐證券代表慧亞國際有限公司提出收購日成控股有限公司全部已發行股份(不包括慧亞國際有限公司及其一致行動人士已經擁有的股份)之無條件強制性現金要約之綜合文件, 二零一六年十二月二十三日.",,,Hong Kong,Yat Sing Holdings Limited,2016,,various paging : charts ; 28 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01253
865,Yat Sing Holdings Limited,,,,,,,,,,"Yat Sing Holdings Limited renewal of general mandates to issue new shares and repurchase shares, proposed re-election of retiring directors and notice of annual general meeting, 6 October 2016 = 日成控股有限公司更新發行新股份及購回股份的一般授權 建議重選退任董事及股東週年大會通告, 二零一六年十月六日.",,,Hong Kong,Yat Sing Holdings Limited,2016,,"i, 22, i, 22 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01261
866,"Yeung, Dora",,,,,,,,,,The fighting disaster / written & illustrated by Dora Yeung.,,,Hong Kong,KidsEdge Education Centre,2017,,26 p. : col. ill. ; 23 cm.,,978-988-77852-0-0 (pbk.),,$130.00,2017-01576
867,"Yeung, Paul",,,,,,,,,,"Yes madam, sorry ah sir / Paul Yeung.",,,Hong Kong,Brownie Publishing Limited,2016,,unpaged : col. ill. ; 26 x 39 cm.,Text in Chinese and English,978-988-13632-6-8 (pbk.),,$280.00,2017-02042
868,"Yip, Man Fung",,,,,,,,,,"Martial arts cinema and Hong Kong modernity : aesthetics, representation, circulation / Man-fung Yip.",,,Hong Kong,Hong Kong University Press,2017,,"ix, 228 p. : ill. ; 24 cm.",Includes bibliographical references and index,978-988-8390-71-7,,$480.00,2017-02573
869,Yorkshine Holdings Limited,,,,,,,,,,Yorkshine Holdings Limited interim report 2017 = 煜新控股有限公司二零一七年中期報告.,,,Hong Kong,Yorkshine Holdings Limited,2016,,"46, 46 p. ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01506
870,"Young, James John","Wu, Jojo Chong Shong","Yu, Shirley Po Chu",,,,,,,,"Identifying butterflies : a practical guidebook for Hong Kong = 香港蝴蝶鑑定實用指南 / James John Young, Wu Chong Shong Jojo, Yu Po Chu Shirley.",,,Hong Kong,Hong Kong Lepidopterists' Society Limited,2016,,234 p. : col. ill. ; 29 cm.,"Includes index, Text in Chinese and English",978-988-12209-8-1 (pbk.),,Unpriced,2017-00416
871,"Yu, Tommy",,,,,,,,,,Intensive pleasure vessel operator grade 2. Part A / written by Tommy Yu.,3rd ed.,,Hong Kong,Sea Dynamics Limited,2017,,85 p. : col. ill. ; 30 cm.,,978-988-14083-2-7 (pbk.),,$500.00,2017-01511
872,"Yu, Tommy",,,,,,,,,,Intensive pleasure vessel operator grade 2. Part B / written by Tommy Yu.,3rd ed.,,Hong Kong,Sea Dynamics Limited,2017,,85 p. : col. ill. ; 30 cm.,Includes index,978-988-14083-1-0 (pbk.),,$500.00,2017-01512
873,Yuan Heng Gas Holdings Limited,,,,,,,,,,Yuan Heng Gas Holdings Limited 2017 interim report = 元亨燃氣控股有限公司2017中期報告.,,,Hong Kong,Yuan Heng Gas Holdings Limited,2016,,36 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-01504
874,"Yuan, Yuan",,,,,,,,,,Yuan Yuan = 袁遠.,,,Hong Kong,Edouard Malingue Gallery,2016,,222 p. : col. ill. ; 25 cm.,"Includes bibliographical references, Text in Chinese and English",978-988-16827-0-3,,$700.00,2017-00753
875,"Zeng, Zhenwei",,,,,,,,,,Zeng Zhenwei = 曾振偉.,,,Hong Kong,China Artist Publishing House,2016,,249 p. : ill. (some col.) ; 25 cm.,Text in simplified Chinese and English,978-988-14670-4-1 (pbk.),,CNY348.00,2017-00799
876,"Zhejiang Chang'an Renheng Technology Co., Ltd.",,,,,,,,,,"Zhejiang Chang'an Renheng Technology Co., Ltd. third quarterly report 2016 = 浙江長安仁恒科技股份有限公司第三季度業績報告2016.",,,Hong Kong,"Zhejiang Chang'an Renheng Technology Co., Ltd.",2016,,"16, 16 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01235
877,Zhejiang Yonglong Enterprises Company Limited,,,,,,,,,,"Zhejiang Yonglong Enterprises Company Limited (1) Proposed change of company name; (2) Proposed change of the business scope of the company; (3) Proposed changes to the board; (4) Proposed amendments to the articles of association; and (5) Notice of extraordinary general meeting, 13 January 2017 = 浙江永隆實業股份有限公司 (1) 建議變更公司名稱; (2) 建議變更本公司經營範圍; (3) 建議董事會變更; (4) 建議修訂公司章程; 及 (5) 臨時股東大會通告, 二零一七年一月十三日.",,,Hong Kong,Zhejiang Yonglong Enterprises Company Limited,2017,,"ii, 18, ii, 18 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01811
878,Zhejiang Yonglong Enterprises Company Limited,,,,,,,,,,Zhejiang Yonglong Enterprises Company Limited third quarterly report 2016 = 浙江永隆實業股份有限公司第三季度報告2016.,,,Hong Kong,Zhejiang Yonglong Enterprises Company Limited,2016,,"14, 14 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-01230
879,Zhidao International (Holdings) Limited,,,,,,,,,,Zhidao International (Holdings) Limited interim report 2016 = 志道國際(控股)有限公司中期報告2016.,,,Hong Kong,Zhidao International (Holdings) Limited,2016,,"28, 28 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00584
880,ZMFY Automobile Glass Services Limited,,,,,,,,,,ZMFY Automobile Glass Services Limited 2016 third quarterly report = 正美豐業汽車玻璃服務有限公司2016第三季度報告.,,,Hong Kong,ZMFY Automobile Glass Services Limited,2016,,"24, 24 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-00080
881,,,,,,,,,,,艾樂Tot talk. 1.,,,Hong Kong,Pearson Education Asia Limited,2016,,56 p. : col. ill. ; 26 cm. + stickers,,978-988-232-081-9 (pbk.),,CNY138.00 (set),2017-01646
882,,,,,,,,,,,艾樂Tot talk. Workbook. 1.,,,Hong Kong,Pearson Education Asia Limited,2016,,39 p. : ill. ; 26 cm.,,978-988-232-081-9 (pbk.),,Unpriced (set),2017-01645
3026,"Furniss, Tracey",,,,,,,,,,100 Top tables 2017 / edited by Tracey Furniss.,,,Hong Kong,South China Morning Post Publishers Limited,2017,,182 p. : col. ill. ; 23 cm.,Includes index,978-962-8148-77-6 (pbk.),,$168.00,2017-03123
3027,Vocational Training Council,,,,,,,,,,2015 Manpower survey report : catering industry = 飲食業2015年人力調查報告書 / Vocational Training Council.,,,Hong Kong,Vocational Training Council,2017,,"xvi, 585 p. : charts ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03833
3028,Vocational Training Council,,,,,,,,,,2016 Manpower survey report : mass communication industry = 大眾傳播業2016年人力調查報告書 / Vocational Training Council.,,,Hong Kong,Vocational Training Council,2017,,"iv, 404 p. : charts ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06186
3029,Vocational Training Council,,,,,,,,,,2016 Manpower survey report : metals industry = 金屬業2016年人力調查報告書 / Vocational Training Council.,,,Hong Kong,Vocational Training Council,2017,,"iv, 166 p. : charts ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03834
3030,,,,,,,,,,,41ST Hong Kong International Film Festival 11-25.4.2017 = 第四十一屆香港國際電影節二○一七年四月十一日至二○一七年四月廿五日.,,,Hong Kong,The Hong Kong International Film Festival Society Limited,2017,,252 p. : ill. (chiefly col.) ; 26 cm.,"Includes index, Text in Chinese and English",978-988-14460-1-5 (pbk.),,$100.00,2017-03832
3031,abc Multiactive Limited,,,,,,,,,,abc Multiactive Limited 2017 first quarterly report = 辰罡科技有限公司2017第一季度業績報告.,,,Hong Kong,abc Multiactive Limited,2017,,"12, 12 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06026
3032,abc Multiactive Limited,,,,,,,,,,abc Multiactive Limited annual report 2016 = 辰罡科技有限公司年報2016.,,,Hong Kong,abc Multiactive Limited,2017,,"110, 110 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-03500
3033,"Lee, L. C.",,,,,,,,,,"ACTIVE physics for HKDSE. 7, Atomic world. Elective. Teacher's edition / LC Lee.",,,Hong Kong,Pearson Education Asia Limited,2016,,"xiii, 154, 6 p. : col. ill. ; 29 cm.",Includes index,978-988-229-765-4 (pbk.),,Unpriced,2017-05720
3034,"Tong, S. S.",,,,,,,,,,"ACTIVE physics for HKDSE. 8, Energy and use of energy. Elective. Teacher's edition / SS Tong.",,,Hong Kong,Pearson Education Asia Limited,2016,,"xiii, 141, 7 p. : col. ill. ; 29 cm.",Includes index,978-988-229-766-1 (pbk.),,Unpriced,2017-05721
3035,Agricultural Bank of China Limited,,,,,,,,,,Agricultural Bank of China Limited 2016 annual report.,,,Hong Kong,Agricultural Bank of China Limited,2017,,"368 p. : col. ill., col. charts ; 29 cm.",,,,Unpriced (pbk.),2017-04291
3036,AGTech Holdings Limited,,,,,,,,,,AGTech Holdings Limited annual report 2016 = 亞博科技控股有限公司2016年度報告.,,,Hong Kong,AGTech Holdings Limited,2017,,"138, 138 p. : col. ill., col. charts, col. map ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-04620
3037,AGTech Holdings Limited,,,,,,,,,,AGTech Holdings Limited financial report 2016 = 亞博科技控股有限公司2016財務報告.,,,Hong Kong,AGTech Holdings Limited,2017,,"222, 222 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06176
3038,AGTech Holdings Limited,,,,,,,,,,AGTech Holdings Limited first quarterly report 2017 = 亞博科技控股有限公司第一季度業績報告2017.,,,Hong Kong,AGTech Holdings Limited,2017,,"34, 34 p. : charts ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06027
3039,Ahsay Backup Software Development Company Limited,,,,,,,,,,Ahsay Backup Software Development Company Limited 2017 1st quarterly report = 亞勢備份軟件開發有限公司2017第一季度報告.,,,Hong Kong,Ahsay Backup Software Development Company Limited,2017,,"16, 16 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-06042
